date,open,high,low,prev_close,ltp,close,vwap,52w_high,52w_low,volume,value,no_of_trades
9/8/2020,650,690,636.05,650.6,642.5,644,651.92,1218,366,958941,625155065,41873
9/9/2020,639.9,648,631.1,644,640,641.45,636.41,1218,366,360066,229148090,16470
9/10/2020,649.95,665.75,642.5,641.45,660.85,657.85,654.3,1218,366,234728,153582635,12323
9/11/2020,660,681.45,651,657.85,680,673.15,664.63,1218,366,257559,171182685,13433
9/14/2020,695,718.7,691.4,673.15,699.25,700.9,703.9,1218,366,916606,645202969,34442
9/15/2020,701,708.55,677.5,700.9,697.5,700.1,700.2,1218,366,500319,350324188,23866
9/16/2020,700,715,696,700.1,712,713.3,709.01,1218,366,469789,333084302,19329
9/17/2020,705,709.4,695,713.3,708,704.9,703.1,1218,366,154552,108665851,5560
9/18/2020,714.8,736.9,707.15,704.9,728.1,726.55,721.97,1218,366,739071,533584473,37051
9/21/2020,720,734,691.1,726.55,693,695.75,707.35,1218,366,327181,231432472,20942
9/22/2020,695.75,695.75,665,695.75,667.15,667.8,673.78,1218,366,587935,396141493,12848
9/23/2020,668,677,647.4,667.8,654,654.35,659.29,1218,366,556077,366614281,17626
9/24/2020,648,648,616.7,654.35,635.05,634.4,626.05,1218,366,322391,201832749,19380
9/25/2020,617.65,667.7,617.65,634.4,655.05,656.25,643.04,1218,366,583133,374979112,20945
9/28/2020,665,677,658.9,656.25,668.3,667.4,670.94,1218,366,349634,234584664,10151
9/29/2020,679,679,650,667.4,652.25,656.35,662.14,1218,366,366162,242449501,20194
9/30/2020,660,667.65,647.6,656.35,659,654.35,661.26,1218,366,290840,192321224,7922
10/1/2020,663.1,672.7,662,654.35,663.9,666,666.4,1218,366,223579,148992846,6793
10/5/2020,670,685,666,666,670.1,670.45,673,1218,366,337208,226939867,14141
10/6/2020,675,743.7,675,670.45,731.1,734.45,714.53,1218,366,727600,519888497,26414
10/7/2020,734,734.45,709.15,734.45,725,724.2,722.46,1218,366,445106,321573334,31147
10/8/2020,728.8,734,720,724.2,730.95,728.9,727.59,1218,366,245983,178974397,18551
10/9/2020,730.95,782.9,720.1,728.9,740.65,741,754.18,1218,366,1056297,796635642,36892
10/12/2020,745.05,759.75,724.6,741,730,732.8,734.24,1218,366,395594,290459374,21587
10/13/2020,729.9,755.35,723.8,732.8,745.05,745.2,744.07,1218,366,298836,222356173,10097
10/14/2020,740,750,715.25,745.2,739,736.8,731.49,1218,366,690288,504940503,22793
10/15/2020,739,754,722.55,736.8,725,725.6,737.23,1218,366,378802,279264898,15600
10/16/2020,730,738.75,721.05,725.6,733,731.8,731.06,1218,366,194590,142257517,6625
10/19/2020,733,772.9,726.1,731.8,766.4,767.9,756.37,1218,366,701075,530274680,28425
10/20/2020,755,796.9,755,767.9,788.8,788.45,780.03,1218,366,655463,511280874,24431
10/21/2020,790.2,809.25,750.1,788.45,769.5,773.55,795.18,1218,366,1781360,1416510577,35474
10/22/2020,776,793,770.6,773.55,778.9,778.95,781.76,1218,366,441830,345405595,17776
10/23/2020,789.95,796,780.15,778.95,793.5,789.35,786.76,1218,366,212452,167148905,12193
10/26/2020,794.35,797,767.85,789.35,772,772.45,782.56,1218,366,171056,133861604,6602
10/27/2020,772.45,793.05,752.5,772.45,787.5,789.65,783.08,1218,366,318409,249340119,12809
10/28/2020,797,812,780.65,789.65,802.2,799.35,802.41,1218,366,816032,654794725,22928
10/29/2020,797,809,772.95,799.35,776.45,782.85,790.64,1218,366,372963,294877744,15333
10/30/2020,782,789.5,774.5,782.85,776,775.35,779.32,1218,366,362248,282305580,5227
11/2/2020,774,784.7,763.55,775.35,770,769.45,770.13,1218,366,372369,286772358,22970
11/3/2020,773,793.5,765.15,769.45,767.8,772.2,782.07,1218,366,312071,244061968,14600
11/4/2020,779.85,788.9,772.2,772.2,777,779.6,780,1218,366,460588,359256580,11943
11/5/2020,785,794,752,779.6,755,757.85,769.56,1218,366,452801,348458203,16923
11/6/2020,761,789.85,761,757.85,770.8,772.2,777.39,1218,366,416666,323910724,14459
11/9/2020,783.3,828.45,781,772.2,809,808.8,813.78,1218,366,1139125,926997198,38429
11/10/2020,820,862,814.95,808.8,860,857.4,843.76,1218,366,1875771,1582709440,35511
11/11/2020,870,871.95,807.75,857.4,858.95,847.15,843.55,1218,366,2022919,1706431981,27591
11/12/2020,849,870,816.1,847.15,830,826.95,842.57,1218,366,709309,597644414,21211
11/13/2020,830,848,801.05,826.95,844.6,844.2,826.42,1218,366,366552,302925195,19157
11/14/2020,850,868.65,848,844.2,852,852.3,854.52,1218,366,93011,79479504,3012
11/17/2020,861.9,904.4,850,852.3,900,891.85,871.99,1218,366,1931599,1684337656,37498
11/18/2020,900.9,945.5,872,891.85,891,895.85,909.63,1218,366,2774103,2523397382,65684
